Row  Column  Power
0  13  4.68706543406
0  22  4.84814827977
0  28  3.64619968219
0  33  3.6691381527
0  87  4.87405383104
0  95  4.1102074462
0  141  3.50714085007
0  142  3.74091468601
0  152  3.74608682168
0  157  6.15059409472
0  176  4.0713055053
0  187  4.07009868604
0  189  4.0
0  190  4.0
0  191  4.0
0  192  4.0
0  193  4.0
0  194  4.0
0  195  4.0
0  196  4.0
0  197  4.0
0  198  4.0
0  199  4.0
0  200  4.0
0  201  4.0
0  202  4.0
0  203  4.0
0  204  4.0
0  205  4.0
0  206  4.0
0  207  4.0
0  208  4.0
0  209  4.0
0  297  4.97887996526
0  304  3.58442100577
0  335  4.29142261047
0  344  3.73938511781
0  352  5.9988873139
0  408  3.42459022879
0  416  4.94693884636
0  445  3.92426880273
0  450  4.33266985798
1  13  4.0408415245
1  18  5.58533536641
1  26  3.66166054805
1  100  4.19704621344
1  113  4.16327914189
1  119  3.81666598468
1  179  4.87441126865
1  189  4.0
1  190  4.0
1  191  4.0
1  192  4.0
1  193  4.0
1  194  4.0
1  195  4.0
1  196  4.0
1  197  4.0
1  198  4.0
1  199  4.0
1  200  4.0
1  201  4.0
1  202  4.0
1  203  4.0
1  204  4.0
1  205  4.0
1  206  4.0
1  207  4.0
1  208  4.0
1  209  4.0
1  220  3.49952546692
1  247  3.65781891475
1  316  3.78310984207
1  330  3.4645646926
1  420  4.12684708714
1  436  3.81201226799
1  452  6.43682674612
1  467  4.83265771711
2  3  3.59703455709
2  18  13.3282795505
2  25  8.70817306388
2  42  8.32456742373
2  106  5.54571671521
2  108  3.6390478534
2  113  4.54005241243
2  129  4.26105593727
2  189  4.0
2  190  4.0
2  191  4.0
2  192  4.0
2  193  4.0
2  194  4.0
2  195  4.0
2  196  4.0
2  197  4.0
2  198  4.0
2  199  4.0
2  200  4.0
2  201  4.0
2  202  4.0
2  203  4.0
2  204  4.0
2  205  4.0
2  206  4.0
2  207  4.0
2  208  4.0
2  209  4.0
2  232  3.94780533591
2  243  4.20087919156
2  248  4.25207253208
2  308  3.55213891316
2  309  3.47578736541
2  310  5.50835503025
2  312  3.77959621599
2  355  6.05022556889
2  414  4.81638154283
3  30  5.43789116117
3  61  3.77932909294
3  73  3.623403439
3  79  4.08351988546
3  91  5.09222563249
3  126  4.2810318191
3  154  3.49671471573
3  157  4.26200931483
3  158  5.62447910774
3  189  4.0
3  190  4.0
3  191  4.0
3  192  4.0
3  193  4.0
3  194  4.0
3  195  4.0
3  196  4.0
3  197  4.0
3  198  4.0
3  199  4.0
3  200  4.0
3  201  4.0
3  202  4.0
3  203  4.0
3  204  4.0
3  205  4.0
3  206  4.0
3  207  4.0
3  208  4.0
3  209  4.0
3  215  3.46895238687
3  219  3.59489086827
3  242  3.80546704383
3  243  5.07228299209
3  268  3.70602710382
3  273  5.22095338843
3  397  5.78672667567
3  409  3.91993753906
3  462  5.53212765885
4  75  3.91651761603
4  132  4.21022301942
4  184  3.94959383862
4  189  4.0
4  190  4.0
4  191  4.0
4  192  4.0
4  193  4.0
4  194  4.0
4  195  4.0
4  196  4.0
4  197  4.0
4  198  4.0
4  199  4.0
4  200  4.0
4  201  4.0
4  202  4.0
4  203  4.0
4  204  4.0
4  205  4.0
4  206  4.0
4  207  4.0
4  208  4.0
4  209  4.0
4  238  5.51500725802
4  270  7.18753498297
4  276  5.69274166807
4  314  4.59717381482
4  317  3.78383356226
4  336  3.72947281741
4  348  6.69606166441
4  368  4.61984374185
4  370  3.66052043705
4  395  4.29025976848
4  407  4.67916708031
4  439  3.52370451971
4  442  3.76354769117
4  480  5.39699669775
5  53  3.8320231547
5  68  4.7487398283
5  75  4.41350491968
5  79  4.26503199741
5  97  4.42541147987
5  105  3.56637411061
5  129  3.40681403903
5  186  4.13083026107
5  189  4.0
5  190  4.0
5  191  4.0
5  192  4.0
5  193  4.0
5  194  4.0
5  195  4.0
5  196  4.0
5  197  4.0
5  198  4.0
5  199  4.0
5  200  4.0
5  201  4.0
5  202  4.0
5  203  4.0
5  204  4.0
5  205  4.0
5  206  4.0
5  207  4.0
5  208  4.0
5  209  4.0
5  218  5.36267431061
5  250  3.6082128677
5  279  4.1799513346
5  299  4.08280319317
5  337  3.76703121685
5  348  4.15387034265
5  401  5.69149751557
5  436  3.95211093848
5  441  3.76526498744
6  57  4.53028926722
6  84  5.72316473962
6  86  4.05011619918
6  104  3.61800513148
6  120  6.07909654015
6  138  3.71489181285
6  189  4.0
6  190  4.0
6  191  4.0
6  192  4.0
6  193  4.0
6  194  4.0
6  195  4.0
6  196  4.0
6  197  4.0
6  198  4.0
6  199  4.0
6  200  4.0
6  201  4.0
6  202  4.0
6  203  4.0
6  204  4.0
6  205  4.0
6  206  4.0
6  207  4.0
6  208  4.0
6  209  4.0
6  240  4.41106814827
6  290  3.53427558535
6  302  3.69005072541
6  335  6.63474389949
6  342  3.41698880771
6  406  4.63073846142
6  442  3.59470213999
6  481  3.49765054208
7  2  5.95033652131
7  6  4.60855456834
7  52  3.59352229693
7  89  3.51116764126
7  148  3.43492681543
7  189  4.0
